name,genre,developer,esrb_rating
Grand Theft Auto IV,Accion,Rockstar Games,M
The Elder Scrolls IV: Oblivion,RPG,Bethesda,M
Tony Hawk's Pro Skater 2,Deportes,Activision,T
Assassin's Creed II,Aventura,Ubisoft,M
Rayman Legends,Plataformas,Ubisoft,E
The Legend of Zelda: Ocarina of Time,Accion,Nintendo, E
Minecraft,Simulacion,Mojang,E10+
The Witcher 3: Wild Hunt,RPG,CD Projekt Red,M
Super Mario Odyssey,Plataformas,Nintendo,E10+
